Hisse,Sinyal,Skor,Kapanış,Likidite (TL),Stop,Hedef,R:R,İkinci Onay,Onay Notu,Çelişki,Rejim Notu,Tarih
DSTKF,AL,0.1773,2048.0,3079808876.0,1567.18,2656.24,1.27,✅ Onaylandı,"Tüm kriterler sağlandı, sinyal doğrulandı.",,XU100 yükseliş trendinde.,2026-07-24
AKSEN,AL,0.1676,105.8,1002479421.0,94.29,119.09,1.15,✅ Onaylandı,"Tüm kriterler sağlandı, sinyal doğrulandı.",,XU100 yükseliş trendinde.,2026-07-24
ODINE,AL,0.1662,2470.0,793882312.0,2225.17,2758.79,1.18,✅ Onaylandı,"Tüm kriterler sağlandı, sinyal doğrulandı.",⚠️,XU100 yükseliş trendinde.,2026-07-24
KUYAS,AL,0.165,70.75,949758671.0,59.61,81.72,0.98,❌ Reddedildi,Risk/Ödül yetersiz (R:R=0.98 < 1.1).,,XU100 yükseliş trendinde.,2026-07-24
GRSEL,AL,0.1622,348.75,158477992.0,323.01,374.01,0.98,❌ Reddedildi,Risk/Ödül yetersiz (R:R=0.98 < 1.1).,⚠️,XU100 yükseliş trendinde.,2026-07-24
IEYHO,AL,0.1588,164.2,1738963612.0,154.02,177.38,1.29,✅ Onaylandı,"Tüm kriterler sağlandı, sinyal doğrulandı.",⚠️,XU100 yükseliş trendinde.,2026-07-24
BTCIM,AL,0.1477,5.28,370143752.0,4.74,5.8,0.97,❌ Reddedildi,Risk/Ödül yetersiz (R:R=0.97 < 1.1).,,XU100 yükseliş trendinde.,2026-07-24
TURSG,AL,0.1469,6.62,500409506.0,6.14,7.14,1.06,❌ Reddedildi,Risk/Ödül yetersiz (R:R=1.06 < 1.1).,,XU100 yükseliş trendinde.,2026-07-24
SASA,AL,0.1436,2.69,1101471124.0,2.41,2.95,0.92,❌ Reddedildi,Risk/Ödül yetersiz (R:R=0.92 < 1.1).,⚠️,XU100 yükseliş trendinde.,2026-07-24
EREGL,AL,0.1373,43.28,5852799888.0,39.52,47.24,1.05,❌ Reddedildi,Risk/Ödül yetersiz (R:R=1.05 < 1.1).,,XU100 yükseliş trendinde.,2026-07-24
EUPWR,AL,0.1347,100.4,1845122569.0,86.88,114.73,1.06,❌ Reddedildi,Risk/Ödül yetersiz (R:R=1.06 < 1.1).,,XU100 yükseliş trendinde.,2026-07-24
HEKTS,AL,0.1347,2.99,1396453034.0,2.61,3.39,1.05,❌ Reddedildi,Risk/Ödül yetersiz (R:R=1.05 < 1.1).,,XU100 yükseliş trendinde.,2026-07-24
YKBNK,AL,0.1344,33.36,8527980367.0,30.77,36.25,1.11,✅ Onaylandı,"Tüm kriterler sağlandı, sinyal doğrulandı.",,XU100 yükseliş trendinde.,2026-07-24
BRSAN,BEKLE,0.1086,570.5,795083295.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
TUPRS,BEKLE,0.1052,304.25,6982396797.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
GUBRF,BEKLE,0.0998,422.75,1171735010.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
ASELS,BEKLE,0.096,380.25,16066006650.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
IZENR,BEKLE,0.0938,10.0,682408840.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
SARKY,BEKLE,0.0814,25.76,134242365.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
MIATK,BEKLE,0.0797,33.64,1085497036.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
TKFEN,BEKLE,0.0767,150.0,689748844.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
RALYH,BEKLE,0.0685,256.0,1010793523.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
DOAS,BEKLE,0.068,186.3,155557659.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
DOHOL,BEKLE,0.0661,21.18,215328528.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
MAGEN,BEKLE,0.0657,40.5,652266363.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
PETKM,BEKLE,0.0638,22.02,1620636123.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
SKBNK,BEKLE,0.0615,11.76,703370919.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
ALARK,BEKLE,0.0613,105.6,417343013.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
ODAS,BEKLE,0.0609,8.52,640906681.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
ENKAI,BEKLE,0.0579,88.8,1027147840.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
OYAKC,BEKLE,0.0572,21.3,312022017.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
KCHOL,BEKLE,0.0567,197.6,3888302068.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
CVKMD,BEKLE,0.0532,38.14,521094860.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
KRDMD,BEKLE,0.0531,42.2,2740511055.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
QUAGR,BEKLE,0.0495,3.92,252907800.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
ESEN,BEKLE,0.0483,3.53,107213449.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
CIMSA,BEKLE,0.0477,49.64,391849067.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
MGROS,BEKLE,0.0469,623.0,1535066883.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
SISE,BEKLE,0.045,43.42,2046031785.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
ARCLK,BEKLE,0.0448,99.0,149181767.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
BRYAT,BEKLE,0.0448,1815.0,81990675.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
PASEU,BEKLE,0.0428,114.7,1421818572.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
CCOLA,BEKLE,0.0408,91.15,484562710.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
GSRAY,BEKLE,0.04,1.01,154783915.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
AKBNK,BEKLE,0.037,67.6,8607125640.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
PSGYO,BEKLE,0.037,3.74,1112656231.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
TRMET,BEKLE,0.0339,136.1,718195560.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
SAHOL,BEKLE,0.0301,87.1,2906470847.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
EUREN,BEKLE,0.0274,4.11,108340948.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
GENIL,BEKLE,0.0263,9.21,317286525.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
HALKB,BEKLE,0.0254,35.98,1886147325.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
GLRMK,BEKLE,0.0243,163.3,505912604.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
